,id,minx,maxx,miny,maxy,mint,maxt,filepath,crs,res
10,10,471663.97,472687.9,3882418.2,3883442.2,0.0,9.223372e+18,/Users/zhuoyi/Library/Application Support/QGIS/QGIS3/profiles/default/python/plugins/Geo-SAM/features/beiluhe_google_img_201211_utm_new_export_pyramid_clip/sam_features_vit_h_beiluhe_google_img_201211_utm_new_export_pyramid_clip_471663.96_3882418.22_472687.89_3883442.16.tif,EPSG:32646,15.999032848232673
11,11,471663.97,472687.9,3883186.2,3884210.0,0.0,9.223372e+18,/Users/zhuoyi/Library/Application Support/QGIS/QGIS3/profiles/default/python/plugins/Geo-SAM/features/beiluhe_google_img_201211_utm_new_export_pyramid_clip/sam_features_vit_h_beiluhe_google_img_201211_utm_new_export_pyramid_clip_471663.96_3883186.17_472687.89_3884210.11.tif,EPSG:32646,15.999032848232673
12,12,472175.94,473199.88,3882674.2,3883698.2,0.0,9.223372e+18,/Users/zhuoyi/Library/Application Support/QGIS/QGIS3/profiles/default/python/plugins/Geo-SAM/features/beiluhe_google_img_201211_utm_new_export_pyramid_clip/sam_features_vit_h_beiluhe_google_img_201211_utm_new_export_pyramid_clip_472175.92_3882674.20_473199.86_3883698.14.tif,EPSG:32646,15.999032848232673
13,13,471663.97,472687.9,3882674.2,3883698.2,0.0,9.223372e+18,/Users/zhuoyi/Library/Application Support/QGIS/QGIS3/profiles/default/python/plugins/Geo-SAM/features/beiluhe_google_img_201211_utm_new_export_pyramid_clip/sam_features_vit_h_beiluhe_google_img_201211_utm_new_export_pyramid_clip_471663.96_3882674.20_472687.89_3883698.14.tif,EPSG:32646,15.999032848232673
14,14,472175.94,473199.88,3883365.2,3884389.0,0.0,9.223372e+18,/Users/zhuoyi/Library/Application Support/QGIS/QGIS3/profiles/default/python/plugins/Geo-SAM/features/beiluhe_google_img_201211_utm_new_export_pyramid_clip/sam_features_vit_h_beiluhe_google_img_201211_utm_new_export_pyramid_clip_472175.92_3883365.16_473199.86_3884389.10.tif,EPSG:32646,15.999032848232673
15,15,472307.9,473331.84,3882162.2,3883186.2,0.0,9.223372e+18,/Users/zhuoyi/Library/Application Support/QGIS/QGIS3/profiles/default/python/plugins/Geo-SAM/features/beiluhe_google_img_201211_utm_new_export_pyramid_clip/sam_features_vit_h_beiluhe_google_img_201211_utm_new_export_pyramid_clip_472307.92_3882162.24_473331.85_3883186.17.tif,EPSG:32646,15.999032848232673
16,16,471919.94,472943.88,3882162.2,3883186.2,0.0,9.223372e+18,/Users/zhuoyi/Library/Application Support/QGIS/QGIS3/profiles/default/python/plugins/Geo-SAM/features/beiluhe_google_img_201211_utm_new_export_pyramid_clip/sam_features_vit_h_beiluhe_google_img_201211_utm_new_export_pyramid_clip_471919.94_3882162.24_472943.88_3883186.17.tif,EPSG:32646,15.999032848232673
17,17,472175.94,473199.88,3882930.2,3883954.2,0.0,9.223372e+18,/Users/zhuoyi/Library/Application Support/QGIS/QGIS3/profiles/default/python/plugins/Geo-SAM/features/beiluhe_google_img_201211_utm_new_export_pyramid_clip/sam_features_vit_h_beiluhe_google_img_201211_utm_new_export_pyramid_clip_472175.92_3882930.19_473199.86_3883954.13.tif,EPSG:32646,15.999032848232673
18,18,471663.97,472687.9,3883365.2,3884389.0,0.0,9.223372e+18,/Users/zhuoyi/Library/Application Support/QGIS/QGIS3/profiles/default/python/plugins/Geo-SAM/features/beiluhe_google_img_201211_utm_new_export_pyramid_clip/sam_features_vit_h_beiluhe_google_img_201211_utm_new_export_pyramid_clip_471663.96_3883365.16_472687.89_3884389.10.tif,EPSG:32646,15.999032848232673
19,19,471663.97,472687.9,3882930.2,3883954.2,0.0,9.223372e+18,/Users/zhuoyi/Library/Application Support/QGIS/QGIS3/profiles/default/python/plugins/Geo-SAM/features/beiluhe_google_img_201211_utm_new_export_pyramid_clip/sam_features_vit_h_beiluhe_google_img_201211_utm_new_export_pyramid_clip_471663.96_3882930.19_472687.89_3883954.13.tif,EPSG:32646,15.999032848232673
20,20,471407.97,472431.9,3883186.2,3884210.0,0.0,9.223372e+18,/Users/zhuoyi/Library/Application Support/QGIS/QGIS3/profiles/default/python/plugins/Geo-SAM/features/beiluhe_google_img_201211_utm_new_export_pyramid_clip/sam_features_vit_h_beiluhe_google_img_201211_utm_new_export_pyramid_clip_471407.97_3883186.17_472431.91_3884210.11.tif,EPSG:32646,15.999032848232673
21,21,471407.97,472431.9,3882418.2,3883442.2,0.0,9.223372e+18,/Users/zhuoyi/Library/Application Support/QGIS/QGIS3/profiles/default/python/plugins/Geo-SAM/features/beiluhe_google_img_201211_utm_new_export_pyramid_clip/sam_features_vit_h_beiluhe_google_img_201211_utm_new_export_pyramid_clip_471407.97_3882418.22_472431.91_3883442.16.tif,EPSG:32646,15.999032848232673
22,22,471663.97,472687.9,3882162.2,3883186.2,0.0,9.223372e+18,/Users/zhuoyi/Library/Application Support/QGIS/QGIS3/profiles/default/python/plugins/Geo-SAM/features/beiluhe_google_img_201211_utm_new_export_pyramid_clip/sam_features_vit_h_beiluhe_google_img_201211_utm_new_export_pyramid_clip_471663.96_3882162.24_472687.89_3883186.17.tif,EPSG:32646,15.999032848232673
23,23,472307.9,473331.84,3883365.2,3884389.0,0.0,9.223372e+18,/Users/zhuoyi/Library/Application Support/QGIS/QGIS3/profiles/default/python/plugins/Geo-SAM/features/beiluhe_google_img_201211_utm_new_export_pyramid_clip/sam_features_vit_h_beiluhe_google_img_201211_utm_new_export_pyramid_clip_472307.92_3883365.16_473331.85_3884389.10.tif,EPSG:32646,15.999032848232673
24,24,471919.94,472943.88,3883365.2,3884389.0,0.0,9.223372e+18,/Users/zhuoyi/Library/Application Support/QGIS/QGIS3/profiles/default/python/plugins/Geo-SAM/features/beiluhe_google_img_201211_utm_new_export_pyramid_clip/sam_features_vit_h_beiluhe_google_img_201211_utm_new_export_pyramid_clip_471919.94_3883365.16_472943.88_3884389.10.tif,EPSG:32646,15.999032848232673
25,25,472175.94,473199.88,3882162.2,3883186.2,0.0,9.223372e+18,/Users/zhuoyi/Library/Application Support/QGIS/QGIS3/profiles/default/python/plugins/Geo-SAM/features/beiluhe_google_img_201211_utm_new_export_pyramid_clip/sam_features_vit_h_beiluhe_google_img_201211_utm_new_export_pyramid_clip_472175.92_3882162.24_473199.86_3883186.17.tif,EPSG:32646,15.999032848232673
26,26,471919.94,472943.88,3882930.2,3883954.2,0.0,9.223372e+18,/Users/zhuoyi/Library/Application Support/QGIS/QGIS3/profiles/default/python/plugins/Geo-SAM/features/beiluhe_google_img_201211_utm_new_export_pyramid_clip/sam_features_vit_h_beiluhe_google_img_201211_utm_new_export_pyramid_clip_471919.94_3882930.19_472943.88_3883954.13.tif,EPSG:32646,15.999032848232673
27,27,472307.9,473331.84,3882930.2,3883954.2,0.0,9.223372e+18,/Users/zhuoyi/Library/Application Support/QGIS/QGIS3/profiles/default/python/plugins/Geo-SAM/features/beiluhe_google_img_201211_utm_new_export_pyramid_clip/sam_features_vit_h_beiluhe_google_img_201211_utm_new_export_pyramid_clip_472307.92_3882930.19_473331.85_3883954.13.tif,EPSG:32646,15.999032848232673
28,28,471919.94,472943.88,3882674.2,3883698.2,0.0,9.223372e+18,/Users/zhuoyi/Library/Application Support/QGIS/QGIS3/profiles/default/python/plugins/Geo-SAM/features/beiluhe_google_img_201211_utm_new_export_pyramid_clip/sam_features_vit_h_beiluhe_google_img_201211_utm_new_export_pyramid_clip_471919.94_3882674.20_472943.88_3883698.14.tif,EPSG:32646,15.999032848232673
29,29,472307.9,473331.84,3882674.2,3883698.2,0.0,9.223372e+18,/Users/zhuoyi/Library/Application Support/QGIS/QGIS3/profiles/default/python/plugins/Geo-SAM/features/beiluhe_google_img_201211_utm_new_export_pyramid_clip/sam_features_vit_h_beiluhe_google_img_201211_utm_new_export_pyramid_clip_472307.92_3882674.20_473331.85_3883698.14.tif,EPSG:32646,15.999032848232673
